Date,PD,Readed plots,Expected plots,Missed plots,Outer areas plots,SUC mean delay [ms],SUC max delay [ms],Notes
2015-01-23 00:00,99.05,419,423,4,0,97.38,101.5625, 
2015-01-22 20:00,99.03,7241,7312,71,0,100.04,156.25, 
2015-01-22 16:00,98.53,19227,19513,286,2,99.07,218.75, 
2015-01-22 12:00,98.41,14119,14347,228,1,98.3,164.0625, 
2015-01-22 08:00,98.87,15549,15727,178,1,97.85,226.5625, 
2015-01-22 04:00,98.86,10071,10187,116,0,96.98,140.625, 
2015-01-22 00:00,99.63,1080,1084,4,0,96.11,453.125, 
2015-01-21 20:00,98.62,13592,13782,190,0,100.25,320.3125, 
2015-01-21 16:00,99.03,17632,17804,172,3,99.1,234.375, 
2015-01-21 12:00,98.63,14718,14923,205,1,98.55,820.3125, 
2015-01-21 08:00,99.08,20974,21169,195,1,98.41,179.6875, 
2015-01-21 04:00,98.72,9528,9652,124,0,97.7,312.5, 
2015-01-21 00:00,96.56,281,291,10,0,96.89,507.8125, 
2015-01-20 20:00,98.1,6809,6941,132,0,98.59,421.875, 
2015-01-20 16:00,99.11,13527,13649,122,3,97.87,289.0625, 
2015-01-20 12:00,99.19,10018,10100,82,0,98.03,242.1875, 
2015-01-20 08:00,99.2,14473,14589,116,2,97.54,140.625, 
2015-01-20 04:00,98.74,11616,11764,148,1,96.05,164.0625, 
2015-01-20 00:00,99.22,767,773,6,0,96.3,593.75, 
2015-01-19 20:00,98.37,8670,8814,144,1,100.37,171.875, 
2015-01-19 16:00,99.2,19056,19209,153,2,98.5,687.5, 
2015-01-19 12:00,99.4,10703,10768,65,2,98.14,148.4375, 
2015-01-19 08:00,98.91,16489,16671,182,2,98.88,109.375, 
2015-01-19 04:00,98.42,8701,8841,140,0,98.05,132.8125, 
2015-01-19 00:00,98.9,720,728,8,0,97.34,296.875, 
2015-01-18 20:00,98.13,6545,6670,125,0,100.19,140.625, 
2015-01-18 16:00,98.67,18319,18566,247,1,99.1,234.375, 
2015-01-18 12:00,98.63,14877,15083,206,3,98.24,171.875, 
2015-01-18 08:00,98.8,17082,17289,207,3,97.82,101.5625, 
2015-01-18 04:00,98.7,8222,8330,108,1,96.8,320.3125, 
2015-01-18 00:00,97.42,151,155,4,0,95.72,101.5625, 
2015-01-17 20:00,98.37,4887,4968,81,0,100.41,101.5625, 
2015-01-17 16:00,98.95,14269,14421,152,1,99.11,101.5625, 
2015-01-17 12:00,98.16,13330,13580,250,2,98.44,382.8125, 
2015-01-17 08:00,98.57,16970,17217,247,1,98.35,445.3125, 
2015-01-17 04:00,98.9,10727,10846,119,3,98.18,296.875, 
2015-01-17 00:00,99.39,1136,1143,7,0,98.11,101.5625, 
2015-01-16 20:00,98.86,12787,12934,147,1,99.52,687.5, 
2015-01-16 16:00,99.06,12956,13079,123,2,98.22,218.75, 
2015-01-16 12:00,99.16,8643,8716,73,2,97.68,195.3125, 
2015-01-16 08:00,98.62,21090,21386,296,1,97.76,593.75, 
2015-01-16 04:00,98.34,12064,12268,204,1,96.96,367.1875, 
2015-01-16 00:00,95.01,972,1023,51,0,96.32,226.5625, 
2015-01-15 20:00,98.95,6232,6298,66,0,98.89,296.875, 
2015-01-15 16:00,99.12,17543,17698,155,4,97.94,210.9375, 
2015-01-15 12:00,98.94,12822,12960,138,5,99.52,414.0625, 
2015-01-15 08:00,98.56,19829,20119,290,1,98.08,304.6875, 
2015-01-15 04:00,98.83,11260,11393,133,1,97.76,234.375, 
2015-01-15 00:00,99.53,1060,1065,5,0,97.43,101.5625, 
2015-01-14 20:00,98.9,7176,7256,80,0,99.26,750.0, 
2015-01-14 16:00,99.07,20338,20528,190,1,98.27,171.875, 
2015-01-14 12:00,99.4,12830,12907,77,0,97.6,375.0, 
2015-01-14 08:00,98.76,19919,20169,250,3,96.36,265.625, 
2015-01-14 04:00,99.23,9452,9525,73,0,96.61,156.25, 
2015-01-14 00:00,98.7,303,307,4,0,93.68,148.4375, 
2015-01-13 20:00,99.09,7372,7440,68,2,99.11,304.6875, 
2015-01-13 16:00,98.84,18344,18559,215,1,98.88,304.6875, 
2015-01-13 12:00,98.65,12832,13008,176,0,98.45,289.0625, 
2015-01-13 08:00,98.72,17641,17870,229,3,98.41,382.8125, 
2015-01-13 04:00,99.16,10809,10901,92,1,97.8,101.5625, 
2015-01-13 00:00,99.27,1357,1367,10,0,98.36,507.8125, 
2015-01-12 20:00,99.22,10579,10662,83,1,100.26,812.5, 
2015-01-12 16:00,98.31,17488,17788,300,0,99.13,101.5625, 
2015-01-12 12:00,98.92,15635,15806,171,0,98.75,992.1875, 
2015-01-12 08:00,98.95,15585,15750,165,0,97.25,281.25, 
2015-01-12 04:00,98.44,9285,9432,147,0,96.7,101.5625, 
2015-01-12 00:00,97.97,145,148,3,0,97.72,101.5625, 
2015-01-11 20:00,98.88,9701,9811,110,1,100.42,335.9375, 
2015-01-11 16:00,98.74,20326,20586,260,2,98.3,218.75, 
2015-01-11 12:00,99.4,13503,13584,81,1,97.22,101.5625, 
2015-01-11 08:00,98.35,16316,16590,274,0,97.65,187.5, 
2015-01-11 04:00,99.07,7920,7994,74,1,98.52,648.4375, 
2015-01-11 00:00,98.65,3512,3560,48,0,97.37,304.6875, 
2015-01-10 20:00,98.81,4962,5022,60,0,100.21,164.0625, 
2015-01-10 16:00,98.81,16333,16529,196,0,98.98,117.1875, 
2015-01-10 12:00,98.42,15152,15396,244,1,98.41,578.125, 
2015-01-10 08:00,98.66,17558,17797,239,0,97.82,890.625, 
2015-01-10 04:00,98.79,9882,10003,121,0,96.58,242.1875, 
2015-01-10 00:00,99.29,3651,3677,26,0,94.43,695.3125, 
2015-01-09 04:00,98.62,10252,10395,143,0,97.7,101.5625, 
2015-01-09 00:00,99.83,3594,3600,6,0,97.93,296.875, 
2015-01-08 20:00,98.93,5550,5610,60,0,99.29,593.75, 
2015-01-08 16:00,98.86,19959,20189,230,4,97.98,250.0, 
2015-01-08 12:00,99.11,14095,14222,127,1,97.97,421.875,
2015-01-08 08:00,98.95,18441,18637,196,4,98.82,578.125, 
2015-01-08 04:00,99.05,8743,8827,84,0,96.45,117.1875,
2015-01-08 00:00,96.86,278,287,9,0,95.07,101.5625, 
2015-01-07 20:00,98.18,10308,10499,191,0,100.22,304.6875, 
2015-01-07 16:00,99.18,20434,20602,168,2,99.38,250.0, 
2015-01-07 12:00,98.94,15576,15743,167,2,98.58,125.0, 
2015-01-07 08:00,98.16,22544,22966,422,2,98.57,320.3125, 
2015-01-07 04:00,99.07,9333,9421,88,2,96.43,265.625, 
2015-01-07 00:00,99.93,2916,2918,2,0,95.23,539.0625, 
2015-01-06 20:00,99.08,8652,8732,80,1,99.95,546.875, 
2015-01-06 16:00,98.22,23719,24150,431,1,99.1,500.0, 
2015-01-06 12:00,98.58,11356,11520,164,2,98.56,406.25, 
2015-01-06 08:00,98.08,15397,15698,301,2,97.03,140.625, 
2015-01-06 04:00,98.02,8766,8943,177,0,95.76,101.5625, 
2015-01-06 00:00,99.52,1651,1659,8,0,96.97,210.9375, 
2015-01-05 20:00,98.83,9397,9508,111,1,100.4,226.5625, 
2015-01-05 16:00,98.55,18984,19264,280,2,97.96,609.375, 
2015-01-05 12:00,98.51,14089,14302,213,1,97.85,429.6875, 
2015-01-05 08:00,98.2,16879,17189,310,1,98.55,187.5, 
2015-01-05 04:00,98.83,10087,10206,119,0,97.85,109.375, 
2015-01-05 00:00,99.64,3082,3093,11,0,96.45,101.5625, 
2015-01-04 20:00,99.01,7796,7874,78,0,98.69,234.375, 
2015-01-04 16:00,98.45,24568,24955,387,1,98.47,101.5625, 
2015-01-04 12:00,98.58,14124,14328,204,0,98.12,414.0625, 
2015-01-04 08:00,98.54,17563,17823,260,1,97.89,171.875, 
2015-01-04 04:00,97.77,9408,9623,215,0,98.17,460.9375, 
2015-01-04 00:00,95.11,467,491,24,0,98.2,101.5625, 
2015-01-03 16:00,98.93,20538,20760,222,1,99.91,257.8125, 
2015-01-03 12:00,98.45,19691,20002,311,0,98.65,117.1875, 
2015-01-03 08:00,98.21,26699,27185,486,1,98.12,937.5, 
2015-01-03 04:00,98.75,8670,8780,110,0,96.01,242.1875, 
2015-01-03 00:00,99.61,761,764,3,0,95.64,101.5625, 
2015-01-02 20:00,98.52,12747,12939,192,0,99.89,289.0625, 
2015-01-02 16:00,98.57,22411,22737,326,0,98.98,289.0625, 
2015-01-02 12:00,98.56,11246,11410,164,0,98.16,140.625, 
2015-01-02 08:00,98.46,19761,20071,310,0,97.3,203.125, 
2015-01-02 04:00,98.33,8771,8920,149,1,96.23,132.8125, 
2015-01-02 00:00,99.08,108,109,1,0,96.66,109.375, 
2015-01-01 20:00,98.5,8957,9093,136,0,101.04,281.25, 
2015-01-01 16:00,98.15,17680,18014,334,0,98.5,101.5625, 
2015-01-01 12:00,99.27,13463,13562,99,0,97.39,273.4375, 
2015-01-01 08:00,98.32,14134,14375,241,0,98.42,140.625, 
2015-01-01 04:00,98.71,7344,7440,96,0,97.28,101.5625, 
2015-01-01 00:00,98.79,408,413,5,0,95.77,101.5625, 
2014-12-31 20:00,98.41,5194,5278,84,0,99.86,171.875, 
