6150221_00	28.4845922990	-16.3473903059	675.0015641302	21 2  2014	 0 10 17.20     	
6150221_00	28.4846053824	-16.3474288390	675.0639663748	21 2  2014	 0 10 17.40     	
6150221_00	28.4846183276	-16.3474673330	675.1010717656	21 2  2014	 0 10 17.60     	
6150221_00	28.4846312098	-16.3475057116	675.1495938478	21 2  2014	 0 10 17.80     	
6150221_00	28.4846439479	-16.3475439910	675.1937460573	21 2  2014	 0 10 18.00     	
6150221_00	28.4846566313	-16.3475821124	675.2520364765	21 2  2014	 0 10 18.20     	
6150221_00	28.4846692867	-16.3476202705	675.3059345465	21 2  2014	 0 10 18.40     	
6150221_00	28.4846818175	-16.3476581957	675.3432658566	21 2  2014	 0 10 18.60     	
6150221_00	28.4846942752	-16.3476960529	675.3978617406	21 2  2014	 0 10 18.80     	
6150221_00	28.4847066487	-16.3477337559	675.4664517110	21 2  2014	 0 10 19.00     	
6150221_00	28.4847188575	-16.3477714092	675.5075831972	21 2  2014	 0 10 19.20     	
6150221_00	28.4847309683	-16.3478088426	675.5566828940	21 2  2014	 0 10 19.40     	
6150221_00	28.4847430547	-16.3478461404	675.6072672270	21 2  2014	 0 10 19.60     	
6150221_00	28.4847550500	-16.3478833071	675.6609505853	21 2  2014	 0 10 19.80     	
6150221_00	28.4847670144	-16.3479203722	675.7154822526	21 2  2014	 0 10 20.00     	
6150221_00	28.4847789779	-16.3479572348	675.7598221311	21 2  2014	 0 10 20.20     	
6150221_00	28.4847910057	-16.3479938757	675.8095961465	21 2  2014	 0 10 20.40     	
6150221_00	28.4848030434	-16.3480304222	675.8623782452	21 2  2014	 0 10 20.60     	
6150221_00	28.4848151296	-16.3480667003	675.9113195492	21 2  2014	 0 10 20.80     	
6150221_00	28.4848272481	-16.3481028736	675.9700748650	21 2  2014	 0 10 21.00     	
6150221_00	28.4848393370	-16.3481388533	676.0235035904	21 2  2014	 0 10 21.20     	
6150221_00	28.4848514344	-16.3481746327	676.0739935618	21 2  2014	 0 10 21.40     	
6150221_00	28.4848634828	-16.3482103174	676.1122185886	21 2  2014	 0 10 21.60     	
6150221_00	28.4848755162	-16.3482457900	676.1538329944	21 2  2014	 0 10 21.80     	
6150221_00	28.4848874931	-16.3482811245	676.1993330950	21 2  2014	 0 10 22.00     	
6150221_00	28.4848994169	-16.3483164141	676.2541962992	21 2  2014	 0 10 22.20     	
6150221_00	28.4849112225	-16.3483515630	676.3023287514	21 2  2014	 0 10 22.40     	
6150221_00	28.4849229807	-16.3483865557	676.3610696569	21 2  2014	 0 10 22.60     	
6150221_00	28.4849346566	-16.3484214728	676.3959301980	21 2  2014	 0 10 22.80     	
6150221_00	28.4849462848	-16.3484561909	676.4379166076	21 2  2014	 0 10 23.00     	
6150221_00	28.4849578036	-16.3484908284	676.4801959610	21 2  2014	 0 10 23.20     	
6150221_00	28.4849692472	-16.3485253583	676.5228068456	21 2  2014	 0 10 23.40     	
6150221_00	28.4849806599	-16.3485597244	676.5836537546	21 2  2014	 0 10 23.60     	
6150221_00	28.4849920125	-16.3485940619	676.6268931096	21 2  2014	 0 10 23.80     	
6150221_00	28.4850032806	-16.3486282156	676.6599880261	21 2  2014	 0 10 24.00     	
6150221_00	28.4850144712	-16.3486623765	676.7116076825	21 2  2014	 0 10 24.20     	
6150221_00	28.4850255933	-16.3486964598	676.7518296093	21 2  2014	 0 10 24.40     	
6150221_00	28.4850366631	-16.3487303623	676.7866024850	21 2  2014	 0 10 24.60     	
6150221_00	28.4850477460	-16.3487642649	676.8275251593	21 2  2014	 0 10 24.80     	
6150221_00	28.4850588918	-16.3487980679	676.8704815609	21 2  2014	 0 10 25.00     	
6150221_00	28.4850700268	-16.3488318959	676.9172853688	21 2  2014	 0 10 25.20     	
6150221_00	28.4850811997	-16.3488656223	676.9492564704	21 2  2014	 0 10 25.40     	
6150221_00	28.4850923850	-16.3488993702	676.9893502211	21 2  2014	 0 10 25.60     	
6150221_00	28.4851035966	-16.3489331127	677.0169635592	21 2  2014	 0 10 25.80     	
6150221_00	28.4851148176	-16.3489668136	677.0590643669	21 2  2014	 0 10 26.00     	
6150221_00	28.4851261145	-16.3490005679	677.0947540300	21 2  2014	 0 10 26.20     	
6150221_00	28.4851374224	-16.3490342386	677.1339193918	21 2  2014	 0 10 26.40     	
6150221_00	28.4851487541	-16.3490678722	677.1701848526	21 2  2014	 0 10 26.60     	
6150221_00	28.4851600732	-16.3491013550	677.2008220898	21 2  2014	 0 10 26.80     	
6150221_00	28.4851713969	-16.3491347898	677.2264686981	21 2  2014	 0 10 27.00     	
6150221_00	28.4851826612	-16.3491681138	677.2581256507	21 2  2014	 0 10 27.20     	
6150221_00	28.4851939105	-16.3492013754	677.2965649758	21 2  2014	 0 10 27.40     	
6150221_00	28.4852050868	-16.3492345171	677.2988035111	21 2  2014	 0 10 27.60     	
6150221_00	28.4852162858	-16.3492675903	677.3400033256	21 2  2014	 0 10 27.80     	
6150221_00	28.4852273850	-16.3493006370	677.3730149353	21 2  2014	 0 10 28.00     	
6150221_00	28.4852383977	-16.3493335852	677.3989693224	21 2  2014	 0 10 28.20     	
6150221_00	28.4852494227	-16.3493665454	677.4240059312	21 2  2014	 0 10 28.40     	
6150221_00	28.4852604750	-16.3493993011	677.4363317247	21 2  2014	 0 10 28.60     	
6150221_00	28.4852715119	-16.3494322557	677.4590759091	21 2  2014	 0 10 28.80     	
6150221_00	28.4852824847	-16.3494651703	677.4916681703	21 2  2014	 0 10 29.00     	
6150221_00	28.4852934710	-16.3494982004	677.5173576456	21 2  2014	 0 10 29.20     	
6150221_00	28.4853044462	-16.3495312627	677.5296616964	21 2  2014	 0 10 29.40     	
6150221_00	28.4853154898	-16.3495642573	677.5469832607	21 2  2014	 0 10 29.60     	
6150221_00	28.4853265354	-16.3495973646	677.5819746573	21 2  2014	 0 10 29.80     	
6150221_00	28.4853375924	-16.3496304477	677.5935644563	21 2  2014	 0 10 30.00     	
6150221_00	28.4853486628	-16.3496636118	677.6220497573	21 2  2014	 0 10 30.20     	
6150221_00	28.4853596625	-16.3496967880	677.6398451757	21 2  2014	 0 10 30.40     	
6150221_00	28.4853706313	-16.3497299165	677.6501053777	21 2  2014	 0 10 30.60     	
6150221_00	28.4853816914	-16.3497630888	677.6697954210	21 2  2014	 0 10 30.80     	
6150221_00	28.4853927516	-16.3497961791	677.6861702790	21 2  2014	 0 10 31.00     	
6150221_00	28.4854038424	-16.3498293169	677.7085294491	21 2  2014	 0 10 31.20     	
6150221_00	28.4854149011	-16.3498624739	677.7188704247	21 2  2014	 0 10 31.40     	
6150221_00	28.4854259680	-16.3498955948	677.7260714695	21 2  2014	 0 10 31.60     	
6150221_00	28.4854371111	-16.3499285843	677.7390877372	21 2  2014	 0 10 31.80     	
6150221_00	28.4854481935	-16.3499616610	677.7611810993	21 2  2014	 0 10 32.00     	
6150221_00	28.4854591827	-16.3499947936	677.7854447374	21 2  2014	 0 10 32.20     	
6150221_00	28.4854702363	-16.3500278791	677.7908997182	21 2  2014	 0 10 32.40     	
6150221_00	28.4854813317	-16.3500608927	677.7998731658	21 2  2014	 0 10 32.60     	
6150221_00	28.4854923614	-16.3500939241	677.8012583507	21 2  2014	 0 10 32.80     	
6150221_00	28.4855033381	-16.3501269043	677.8098838134	21 2  2014	 0 10 33.00     	
6150221_00	28.4855143033	-16.3501598346	677.8198887315	21 2  2014	 0 10 33.20     	
6150221_00	28.4855252314	-16.3501927324	677.8227299564	21 2  2014	 0 10 33.40     	
6150221_00	28.4855361103	-16.3502255573	677.8309369413	21 2  2014	 0 10 33.60     	
6150221_00	28.4855469542	-16.3502583161	677.8404439725	21 2  2014	 0 10 33.80     	
6150221_00	28.4855578231	-16.3502909995	677.8492037151	21 2  2014	 0 10 34.00     	
6150221_00	28.4855686564	-16.3503236444	677.8520681029	21 2  2014	 0 10 34.20     	
6150221_00	28.4855794467	-16.3503561666	677.8413974363	21 2  2014	 0 10 34.40     	
6150221_00	28.4855902201	-16.3503886114	677.8533869507	21 2  2014	 0 10 34.60     	
6150221_00	28.4856009399	-16.3504210408	677.8558525247	21 2  2014	 0 10 34.80     	
6150221_00	28.4856116174	-16.3504534396	677.8563120374	21 2  2014	 0 10 35.00     	
6150221_00	28.4856223177	-16.3504857562	677.8582989806	21 2  2014	 0 10 35.20     	
6150221_00	28.4856330262	-16.3505180901	677.8514295258	21 2  2014	 0 10 35.40     	
6150221_00	28.4856437694	-16.3505504402	677.8419360192	21 2  2014	 0 10 35.60     	
6150221_00	28.4856545332	-16.3505828265	677.8424563333	21 2  2014	 0 10 35.80     	
6150221_00	28.4856652904	-16.3506152258	677.8299772656	21 2  2014	 0 10 36.00     	
6150221_00	28.4856761101	-16.3506477020	677.8222740171	21 2  2014	 0 10 36.20     	
6150221_00	28.4856869061	-16.3506802589	677.8149488661	21 2  2014	 0 10 36.40     	
6150221_00	28.4856976613	-16.3507128129	677.8052303279	21 2  2014	 0 10 36.60     	
6150221_00	28.4857084881	-16.3507454620	677.8084265441	21 2  2014	 0 10 36.80     	
6150221_00	28.4857193443	-16.3507781795	677.8063300280	21 2  2014	 0 10 37.00     	
6150221_00	28.4857301475	-16.3508109951	677.7926033102	21 2  2014	 0 10 37.20     	
6150221_00	28.4857410098	-16.3508439099	677.8013787251	21 2  2014	 0 10 37.40     	
6150221_00	28.4857518796	-16.3508768830	677.7882611630	21 2  2014	 0 10 37.60     	
6150221_00	28.4857628005	-16.3509100181	677.7839019839	21 2  2014	 0 10 37.80     	
6150221_00	28.4857737605	-16.3509432382	677.7701289942	21 2  2014	 0 10 38.00     	
6150221_00	28.4857847357	-16.3509766294	677.7535955766	21 2  2014	 0 10 38.20     	
6150221_00	28.4857957883	-16.3510100509	677.7281876346	21 2  2014	 0 10 38.40     	
6150221_00	28.4858068362	-16.3510436483	677.7079923013	21 2  2014	 0 10 38.60     	
6150221_00	28.4858179165	-16.3510772714	677.7028227691	21 2  2014	 0 10 38.80     	
6150221_00	28.4858290560	-16.3511112947	677.6940458100	21 2  2014	 0 10 39.00     	
6150221_00	28.4858402313	-16.3511451952	677.6616675183	21 2  2014	 0 10 39.20     	
6150221_00	28.4858515243	-16.3511793477	677.6419060221	21 2  2014	 0 10 39.40     	
6150221_00	28.4858628528	-16.3512136079	677.6280892594	21 2  2014	 0 10 39.60     	
6150221_00	28.4858742669	-16.3512480148	677.6164753754	21 2  2014	 0 10 39.80     	
6150221_00	28.4858858302	-16.3512825611	677.6003192905	21 2  2014	 0 10 40.00     	
6150221_00	28.4858973830	-16.3513172547	677.5729508046	21 2  2014	 0 10 40.20     	
6150221_00	28.4859089849	-16.3513520703	677.5467390399	21 2  2014	 0 10 40.40     	
6150221_00	28.4859206506	-16.3513870470	677.5278031593	21 2  2014	 0 10 40.60     	
6150221_00	28.4859323304	-16.3514222189	677.5005820682	21 2  2014	 0 10 40.80     	
6150221_00	28.4859440541	-16.3514574553	677.4754429217	21 2  2014	 0 10 41.00     	
6150221_00	28.4859557934	-16.3514928469	677.4495428093	21 2  2014	 0 10 41.20     	
6150221_00	28.4859675098	-16.3515283021	677.4285392547	21 2  2014	 0 10 41.40     	
6150221_00	28.4859792975	-16.3515638527	677.4155909801	21 2  2014	 0 10 41.60     	
6150221_00	28.4859910846	-16.3515994010	677.3966373913	21 2  2014	 0 10 41.80     	
6150221_00	28.4860028002	-16.3516350207	677.3724361286	21 2  2014	 0 10 42.00     	
6150221_00	28.4860145032	-16.3516705876	677.3420830406	21 2  2014	 0 10 42.20     	
6150221_00	28.4860262421	-16.3517061775	677.3273676373	21 2  2014	 0 10 42.40     	
6150221_00	28.4860379064	-16.3517417567	677.3041167883	21 2  2014	 0 10 42.60     	
6150221_00	28.4860496059	-16.3517773578	677.2782588629	21 2  2014	 0 10 42.80     	
6150221_00	28.4860612511	-16.3518129310	677.2467998248	21 2  2014	 0 10 43.00     	
6150221_00	28.4860729380	-16.3518485172	677.2177894413	21 2  2014	 0 10 43.20     	
6150221_00	28.4860845925	-16.3518840482	677.1862385189	21 2  2014	 0 10 43.40     	
6150221_00	28.4860962816	-16.3519195933	677.1661236677	21 2  2014	 0 10 43.60     	
6150221_00	28.4861079160	-16.3519551730	677.1354854321	21 2  2014	 0 10 43.80     	
6150221_00	28.4861196064	-16.3519907282	677.1203520000	21 2  2014	 0 10 44.00     	
6150221_00	28.4861312508	-16.3520262689	677.0920078522	21 2  2014	 0 10 44.20     	
6150221_00	28.4861429380	-16.3520617760	677.0700025661	21 2  2014	 0 10 44.40     	
6150221_00	28.4861546248	-16.3520973475	677.0431636609	21 2  2014	 0 10 44.60     	
6150221_00	28.4861663628	-16.3521328678	677.0135993250	21 2  2014	 0 10 44.80     	
6150221_00	28.4861781092	-16.3521683388	676.9876770033	21 2  2014	 0 10 45.00     	
6150221_00	28.4861898397	-16.3522038424	676.9634731077	21 2  2014	 0 10 45.20     	
6150221_00	28.4862015234	-16.3522391620	676.9248809535	21 2  2014	 0 10 45.40     	
6150221_00	28.4862132145	-16.3522742869	676.9015307007	21 2  2014	 0 10 45.60     	
6150221_00	28.4862248073	-16.3523093277	676.8739592852	21 2  2014	 0 10 45.80     	
6150221_00	28.4862363582	-16.3523440724	676.8483120045	21 2  2014	 0 10 46.00     	
6150221_00	28.4862478677	-16.3523785508	676.8190881098	21 2  2014	 0 10 46.20     	
6150221_00	28.4862593463	-16.3524126411	676.7797738714	21 2  2014	 0 10 46.40     	
6150221_00	28.4862707169	-16.3524464268	676.7518239506	21 2  2014	 0 10 46.60     	
6150221_00	28.4862819479	-16.3524799687	676.7357655428	21 2  2014	 0 10 46.80     	
6150221_00	28.4862931099	-16.3525131209	676.7052114857	21 2  2014	 0 10 47.00     	
6150221_00	28.4863041933	-16.3525459554	676.6852423977	21 2  2014	 0 10 47.20     	
6150221_00	28.4863151903	-16.3525783973	676.6624032920	21 2  2014	 0 10 47.40     	
6150221_00	28.4863260471	-16.3526105026	676.6408257186	21 2  2014	 0 10 47.60     	
6150221_00	28.4863367585	-16.3526421952	676.6113387225	21 2  2014	 0 10 47.80     	
6150221_00	28.4863473558	-16.3526735416	676.5876385681	21 2  2014	 0 10 48.00     	
6150221_00	28.4863578384	-16.3527045298	676.5573470825	21 2  2014	 0 10 48.20     	
6150221_00	28.4863681673	-16.3527349986	676.5288734576	21 2  2014	 0 10 48.40     	
6150221_00	28.4863783599	-16.3527652460	676.5186985936	21 2  2014	 0 10 48.60     	
6150221_00	28.4863883087	-16.3527950278	676.4826887250	21 2  2014	 0 10 48.80     	
6150221_00	28.4863981379	-16.3528243657	676.4584052591	21 2  2014	 0 10 49.00     	
6150221_00	28.4864077799	-16.3528533037	676.4527599923	21 2  2014	 0 10 49.20     	
6150221_00	28.4864173022	-16.3528819553	676.4385097735	21 2  2014	 0 10 49.40     	
6150221_00	28.4864266927	-16.3529102455	676.4145185202	21 2  2014	 0 10 49.60     	
6150221_00	28.4864359606	-16.3529381680	676.3999990942	21 2  2014	 0 10 49.80     	
6150221_00	28.4864450661	-16.3529658509	676.3778023198	21 2  2014	 0 10 50.00     	
6150221_00	28.4864540232	-16.3529932264	676.3687826097	21 2  2014	 0 10 50.20     	
6150221_00	28.4864628916	-16.3530202534	676.3449788420	21 2  2014	 0 10 50.40     	
6150221_00	28.4864716422	-16.3530469855	676.3219204526	21 2  2014	 0 10 50.60     	
6150221_00	28.4864802750	-16.3530733773	676.3017296894	21 2  2014	 0 10 50.80     	
6150221_00	28.4864888655	-16.3530994494	676.2913000612	21 2  2014	 0 10 51.00     	
6150221_00	28.4864973326	-16.3531251980	676.2650262369	21 2  2014	 0 10 51.20     	
6150221_00	28.4865056815	-16.3531505745	676.2312007798	21 2  2014	 0 10 51.40     	
6150221_00	28.4865139671	-16.3531755822	676.2200026521	21 2  2014	 0 10 51.60     	
6150221_00	28.4865221796	-16.3532003047	676.2071859511	21 2  2014	 0 10 51.80     	
6150221_00	28.4865302532	-16.3532247267	676.1970669869	21 2  2014	 0 10 52.00     	
6150221_00	28.4865381875	-16.3532487104	676.1676624427	21 2  2014	 0 10 52.20     	
6150221_00	28.4865460471	-16.3532724612	676.1570404423	21 2  2014	 0 10 52.40     	
6150221_00	28.4865538183	-16.3532958187	676.1418304937	21 2  2014	 0 10 52.60     	
6150221_00	28.4865615150	-16.3533188983	676.1226805551	21 2  2014	 0 10 52.80     	
6150221_00	28.4865690943	-16.3533416039	676.1016642628	21 2  2014	 0 10 53.00     	
6150221_00	28.4865765875	-16.3533639321	676.0786626274	21 2  2014	 0 10 53.20     	
6150221_00	28.4865840750	-16.3533859235	676.0592270084	21 2  2014	 0 10 53.40     	
6150221_00	28.4865914787	-16.3534076330	676.0410475936	21 2  2014	 0 10 53.60     	
6150221_00	28.4865987822	-16.3534290673	676.0239908695	21 2  2014	 0 10 53.80     	
6150221_00	28.4866059699	-16.3534502527	676.0036958391	21 2  2014	 0 10 54.00     	
6150221_00	28.4866130932	-16.3534712591	675.9925601911	21 2  2014	 0 10 54.20     	
6150221_00	28.4866201375	-16.3534921570	675.9668031586	21 2  2014	 0 10 54.40     	
6150221_00	28.4866271212	-16.3535129221	675.9624878634	21 2  2014	 0 10 54.60     	
6150221_00	28.4866340476	-16.3535336721	675.9434889797	21 2  2014	 0 10 54.80     	
6150221_00	28.4866409170	-16.3535544384	675.9292062977	21 2  2014	 0 10 55.00     	
6150221_00	28.4866477774	-16.3535752285	675.9030981995	21 2  2014	 0 10 55.20     	
6150221_00	28.4866546318	-16.3535960848	675.8931351211	21 2  2014	 0 10 55.40     	
6150221_00	28.4866615037	-16.3536170093	675.8864111835	21 2  2014	 0 10 55.60     	
6150221_00	28.4866683931	-16.3536380882	675.8661641320	21 2  2014	 0 10 55.80     	
6150221_00	28.4866752895	-16.3536592065	675.8566079140	21 2  2014	 0 10 56.00     	
6150221_00	28.4866822244	-16.3536804630	675.8365003848	21 2  2014	 0 10 56.20     	
6150221_00	28.4866891454	-16.3537018742	675.8242840460	21 2  2014	 0 10 56.40     	
6150221_00	28.4866960849	-16.3537234572	675.8012483660	21 2  2014	 0 10 56.60     	
6150221_00	28.4867030690	-16.3537452019	675.7774015991	21 2  2014	 0 10 56.80     	
6150221_00	28.4867101467	-16.3537670759	675.7717949869	21 2  2014	 0 10 57.00     	
6150221_00	28.4867172931	-16.3537890802	675.7613289868	21 2  2014	 0 10 57.20     	
6150221_00	28.4867245639	-16.3538112382	675.7505235672	21 2  2014	 0 10 57.40     	
6150221_00	28.4867318936	-16.3538335932	675.7275775904	21 2  2014	 0 10 57.60     	
6150221_00	28.4867392620	-16.3538561301	675.7149510961	21 2  2014	 0 10 57.80     	
6150221_00	28.4867467423	-16.3538788612	675.7014108263	21 2  2014	 0 10 58.00     	
6150221_00	28.4867543296	-16.3539017682	675.6891243570	21 2  2014	 0 10 58.20     	
6150221_00	28.4867619992	-16.3539248466	675.6723764911	21 2  2014	 0 10 58.40     	
6150221_00	28.4867697362	-16.3539480964	675.6549144695	21 2  2014	 0 10 58.60     	
6150221_00	28.4867775460	-16.3539715248	675.6391492691	21 2  2014	 0 10 58.80     	
6150221_00	28.4867854472	-16.3539951443	675.6211053357	21 2  2014	 0 10 59.00     	
6150221_00	28.4867934233	-16.3540189095	675.6034343429	21 2  2014	 0 10 59.20     	
6150221_00	28.4868014511	-16.3540428972	675.5826593991	21 2  2014	 0 10 59.40     	
6150221_00	28.4868095845	-16.3540669912	675.5762583725	21 2  2014	 0 10 59.60     	
6150221_00	28.4868177724	-16.3540912968	675.5581333777	21 2  2014	 0 10 59.80     	
6150221_00	28.4868259848	-16.3541158411	675.5412294175	21 2  2014	 0 11 0.00      	
6150221_00	28.4868342268	-16.3541404891	675.5066987732	21 2  2014	 0 11 0.20      	
6150221_00	28.4868425038	-16.3541653455	675.4948554486	21 2  2014	 0 11 0.40      	
6150221_00	28.4868507779	-16.3541903834	675.4706162559	21 2  2014	 0 11 0.60      	
6150221_00	28.4868591138	-16.3542155990	675.4536759388	21 2  2014	 0 11 0.80      	
6150221_00	28.4868675356	-16.3542409652	675.4384805653	21 2  2014	 0 11 1.00      	
6150221_00	28.4868759920	-16.3542664882	675.4234513948	21 2  2014	 0 11 1.20      	
6150221_00	28.4868845197	-16.3542921329	675.3990238030	21 2  2014	 0 11 1.40      	
6150221_00	28.4868931148	-16.3543179889	675.3923381343	21 2  2014	 0 11 1.60      	
6150221_00	28.4869017372	-16.3543439942	675.3675671360	21 2  2014	 0 11 1.80      	
6150221_00	28.4869104254	-16.3543701221	675.3443101030	21 2  2014	 0 11 2.00      	
6150221_00	28.4869191866	-16.3543963618	675.3235489391	21 2  2014	 0 11 2.20      	
6150221_00	28.4869279986	-16.3544227471	675.3041620199	21 2  2014	 0 11 2.40      	
6150221_00	28.4869368620	-16.3544494521	675.2888470124	21 2  2014	 0 11 2.60      	
6150221_00	28.4869456736	-16.3544761338	675.2502800589	21 2  2014	 0 11 2.80      	
6150221_00	28.4869546034	-16.3545029825	675.2197801163	21 2  2014	 0 11 3.00      	
6150221_00	28.4869635474	-16.3545299075	675.2071775990	21 2  2014	 0 11 3.20      	
6150221_00	28.4869725015	-16.3545569817	675.1850364152	21 2  2014	 0 11 3.40      	
6150221_00	28.4869814654	-16.3545841617	675.1664637253	21 2  2014	 0 11 3.60      	
6150221_00	28.4869904565	-16.3546114192	675.1525344662	21 2  2014	 0 11 3.80      	
6150221_00	28.4869994614	-16.3546387317	675.1406695452	21 2  2014	 0 11 4.00      	
6150221_00	28.4870084923	-16.3546661161	675.1208314532	21 2  2014	 0 11 4.20      	
6150221_00	28.4870174940	-16.3546935534	675.0968332626	21 2  2014	 0 11 4.40      	
6150221_00	28.4870264909	-16.3547210576	675.0806666426	21 2  2014	 0 11 4.60      	
6150221_00	28.4870355648	-16.3547485407	675.0665671742	21 2  2014	 0 11 4.80      	
6150221_00	28.4870446436	-16.3547761486	675.0420855070	21 2  2014	 0 11 5.00      	
6150221_00	28.4870537233	-16.3548037507	675.0306851966	21 2  2014	 0 11 5.20      	
6150221_00	28.4870628019	-16.3548314371	675.0069623264	21 2  2014	 0 11 5.40      	
6150221_00	28.4870718872	-16.3548592148	674.9801739044	21 2  2014	 0 11 5.60      	
6150221_00	28.4870809732	-16.3548870021	674.9559406145	21 2  2014	 0 11 5.80      	
6150221_00	28.4870900670	-16.3549148808	674.9430363709	21 2  2014	 0 11 6.00      	
6150221_00	28.4870991799	-16.3549427715	674.9242140483	21 2  2014	 0 11 6.20      	
6150221_00	28.4871083114	-16.3549707395	674.9019629452	21 2  2014	 0 11 6.40      	
6150221_00	28.4871174700	-16.3549987862	674.8916628407	21 2  2014	 0 11 6.60      	
6150221_00	28.4871266535	-16.3550268062	674.8690598868	21 2  2014	 0 11 6.80      	
6150221_00	28.4871358421	-16.3550549164	674.8462579055	21 2  2014	 0 11 7.00      	
6150221_00	28.4871450671	-16.3550830874	674.8383635469	21 2  2014	 0 11 7.20      	
6150221_00	28.4871543331	-16.3551112512	674.8146271259	21 2  2014	 0 11 7.40      	
6150221_00	28.4871636701	-16.3551394903	674.7959740022	21 2  2014	 0 11 7.60      	
6150221_00	28.4871730203	-16.3551677308	674.7729839962	21 2  2014	 0 11 7.80      	
6150221_00	28.4871824060	-16.3551959681	674.7492538653	21 2  2014	 0 11 8.00      	
6150221_00	28.4871918850	-16.3552243064	674.7289111698	21 2  2014	 0 11 8.20      	
6150221_00	28.4872013117	-16.3552526368	674.7047602739	21 2  2014	 0 11 8.40      	
6150221_00	28.4872108250	-16.3552810056	674.6805613767	21 2  2014	 0 11 8.60      	
6150221_00	28.4872203483	-16.3553093654	674.6675156746	21 2  2014	 0 11 8.80      	
6150221_00	28.4872298532	-16.3553377955	674.6431674566	21 2  2014	 0 11 9.00      	
6150221_00	28.4872393473	-16.3553662198	674.6304832269	21 2  2014	 0 11 9.20      	
6150221_00	28.4872488215	-16.3553946921	674.6066223904	21 2  2014	 0 11 9.40      	
6150221_00	28.4872583115	-16.3554231696	674.5964983171	21 2  2014	 0 11 9.60      	
6150221_00	28.4872678031	-16.3554515821	674.5698149139	21 2  2014	 0 11 9.80      	
6150221_00	28.4872772803	-16.3554800282	674.5538936900	21 2  2014	 0 11 10.00     	
6150221_00	28.4872867627	-16.3555084057	674.5353902290	21 2  2014	 0 11 10.20     	
6150221_00	28.4872962283	-16.3555367493	674.5088583883	21 2  2014	 0 11 10.40     	
6150221_00	28.4873056215	-16.3555650066	674.4859297676	21 2  2014	 0 11 10.60     	
6150221_00	28.4873149517	-16.3555931042	674.4548102701	21 2  2014	 0 11 10.80     	
6150221_00	28.4873242769	-16.3556210352	674.4398438390	21 2  2014	 0 11 11.00     	
6150221_00	28.4873335348	-16.3556488533	674.4193465374	21 2  2014	 0 11 11.20     	
6150221_00	28.4873427484	-16.3556765017	674.3927087225	21 2  2014	 0 11 11.40     	
6150221_00	28.4873518132	-16.3557039130	674.3799316194	21 2  2014	 0 11 11.60     	
6150221_00	28.4873607339	-16.3557308569	674.3575323224	21 2  2014	 0 11 11.80     	
6150221_00	28.4873694497	-16.3557572574	674.3391943295	21 2  2014	 0 11 12.00     	
6150221_00	28.4873779888	-16.3557830563	674.3198353443	21 2  2014	 0 11 12.20     	
6150221_00	28.4873863653	-16.3558084165	674.3032088270	21 2  2014	 0 11 12.40     	
6150221_00	28.4873946504	-16.3558334932	674.2913828501	21 2  2014	 0 11 12.60     	
6150221_00	28.4874028562	-16.3558584109	674.2688429253	21 2  2014	 0 11 12.80     	
6150221_00	28.4874109721	-16.3558830356	674.2480022144	21 2  2014	 0 11 13.00     	
6150221_00	28.4874189557	-16.3559075218	674.2210720573	21 2  2014	 0 11 13.20     	
6150221_00	28.4874267910	-16.3559316956	674.1919740625	21 2  2014	 0 11 13.40     	
6150221_00	28.4874346764	-16.3559557330	674.1801276151	21 2  2014	 0 11 13.60     	
6150221_00	28.4874424857	-16.3559796753	674.1632705070	21 2  2014	 0 11 13.80     	
6150221_00	28.4874502435	-16.3560033693	674.1492662141	21 2  2014	 0 11 14.00     	
6150221_00	28.4874578857	-16.3560269482	674.1370966565	21 2  2014	 0 11 14.20     	
6150221_00	28.4874655608	-16.3560503427	674.1281094830	21 2  2014	 0 11 14.40     	
6150221_00	28.4874732703	-16.3560736362	674.1172854416	21 2  2014	 0 11 14.60     	
6150221_00	28.4874808970	-16.3560965910	674.0990825575	21 2  2014	 0 11 14.80     	
6150221_00	28.4874885353	-16.3561194984	674.0907496065	21 2  2014	 0 11 15.00     	
6150221_00	28.4874960054	-16.3561421077	674.0708703231	21 2  2014	 0 11 15.20     	
6150221_00	28.4875034322	-16.3561643105	674.0590627538	21 2  2014	 0 11 15.40     	
6150221_00	28.4875108051	-16.3561861704	674.0510025946	21 2  2014	 0 11 15.60     	
6150221_00	28.4875180589	-16.3562076973	674.0191302299	21 2  2014	 0 11 15.80     	
6150221_00	28.4875252045	-16.3562289616	673.9945516419	21 2  2014	 0 11 16.00     	
6150221_00	28.4875322795	-16.3562499862	673.9812654769	21 2  2014	 0 11 16.20     	
6150221_00	28.4875393026	-16.3562708106	673.9746359726	21 2  2014	 0 11 16.40     	
6150221_00	28.4875462318	-16.3562915160	673.9571188530	21 2  2014	 0 11 16.60     	
6150221_00	28.4875531207	-16.3563119626	673.9410551358	21 2  2014	 0 11 16.80     	
6150221_00	28.4875599765	-16.3563322686	673.9274043506	21 2  2014	 0 11 17.00     	
6150221_00	28.4875667599	-16.3563524351	673.9125625025	21 2  2014	 0 11 17.20     	
6150221_00	28.4875734739	-16.3563724384	673.9008138757	21 2  2014	 0 11 17.40     	
6150221_00	28.4875801167	-16.3563923986	673.8881038781	21 2  2014	 0 11 17.60     	
6150221_00	28.4875867307	-16.3564121903	673.8724623276	21 2  2014	 0 11 17.80     	
