6150221_00	28.4812090536	-16.3365840119	663.5740041835	21 2  2014	 0 5  10.80     	
6150221_00	28.4812090370	-16.3365840218	663.5674768211	21 2  2014	 0 5  11.00     	
6150221_00	28.4812090344	-16.3365840302	663.5801673522	21 2  2014	 0 5  11.20     	
6150221_00	28.4812090405	-16.3365840014	663.5681673065	21 2  2014	 0 5  11.40     	
6150221_00	28.4812090485	-16.3365840165	663.5762238381	21 2  2014	 0 5  11.60     	
6150221_00	28.4812090468	-16.3365840101	663.5718303733	21 2  2014	 0 5  11.80     	
6150221_00	28.4812090386	-16.3365840208	663.5711604860	21 2  2014	 0 5  12.00     	
6150221_00	28.4812090434	-16.3365840158	663.5744957644	21 2  2014	 0 5  12.20     	
6150221_00	28.4812090467	-16.3365840116	663.5658879429	21 2  2014	 0 5  12.40     	
6150221_00	28.4812090438	-16.3365840227	663.5734454682	21 2  2014	 0 5  12.60     	
6150221_00	28.4812090365	-16.3365840329	663.5761656025	21 2  2014	 0 5  12.80     	
6150221_00	28.4812090365	-16.3365840377	663.5695845773	21 2  2014	 0 5  13.00     	
6150221_00	28.4812090385	-16.3365840265	663.5738256117	21 2  2014	 0 5  13.20     	
6150221_00	28.4812090236	-16.3365840183	663.5632910794	21 2  2014	 0 5  13.40     	
6150221_00	28.4812090400	-16.3365840119	663.5691934144	21 2  2014	 0 5  13.60     	
6150221_00	28.4812090329	-16.3365840248	663.5754806278	21 2  2014	 0 5  13.80     	
6150221_00	28.4812090304	-16.3365840166	663.5700401403	21 2  2014	 0 5  14.00     	
6150221_00	28.4812090405	-16.3365840206	663.5687321117	21 2  2014	 0 5  14.20     	
6150221_00	28.4812090532	-16.3365840109	663.5684177019	21 2  2014	 0 5  14.40     	
6150221_00	28.4812090409	-16.3365840183	663.5715746060	21 2  2014	 0 5  14.60     	
6150221_00	28.4812090355	-16.3365840335	663.5695178434	21 2  2014	 0 5  14.80     	
6150221_00	28.4812090308	-16.3365840190	663.5704629859	21 2  2014	 0 5  15.00     	
6150221_00	28.4812090421	-16.3365840276	663.5736826276	21 2  2014	 0 5  15.20     	
6150221_00	28.4812090483	-16.3365840151	663.5644420972	21 2  2014	 0 5  15.40     	
6150221_00	28.4812090342	-16.3365840290	663.5709497165	21 2  2014	 0 5  15.60     	
6150221_00	28.4812090308	-16.3365840166	663.5636889171	21 2  2014	 0 5  15.80     	
6150221_00	28.4812090409	-16.3365840302	663.5769776525	21 2  2014	 0 5  16.00     	
6150221_00	28.4812090329	-16.3365840287	663.5725123398	21 2  2014	 0 5  16.20     	
6150221_00	28.4812090336	-16.3365840173	663.5673038112	21 2  2014	 0 5  16.40     	
6150221_00	28.4812090440	-16.3365840241	663.5690059327	21 2  2014	 0 5  16.60     	
6150221_00	28.4812090464	-16.3365840241	663.5790781891	21 2  2014	 0 5  16.80     	
6150221_00	28.4812090373	-16.3365840226	663.5740069998	21 2  2014	 0 5  17.00     	
6150221_00	28.4812090579	-16.3365840223	663.5829215515	21 2  2014	 0 5  17.20     	
6150221_00	28.4812090547	-16.3365840205	663.5797850089	21 2  2014	 0 5  17.40     	
6150221_00	28.4812090434	-16.3365840237	663.5757202478	21 2  2014	 0 5  17.60     	
6150221_00	28.4812090401	-16.3365840149	663.5805589911	21 2  2014	 0 5  17.80     	
6150221_00	28.4812090531	-16.3365840133	663.5761007881	21 2  2014	 0 5  18.00     	
6150221_00	28.4812090364	-16.3365840336	663.5770074558	21 2  2014	 0 5  18.20     	
6150221_00	28.4812090447	-16.3365840248	663.5809446126	21 2  2014	 0 5  18.40     	
6150221_00	28.4812090514	-16.3365840121	663.5860904502	21 2  2014	 0 5  18.60     	
6150221_00	28.4812090418	-16.3365840083	663.5751614468	21 2  2014	 0 5  18.80     	
6150221_00	28.4812090359	-16.3365840263	663.5773228249	21 2  2014	 0 5  19.00     	
