Cat,Length,FSPEC,DI I010/010 SAC,DI I010/010 SIC,DI I010/000 Message Type,DI I010/020 TRD Type,DI I010/020 TRD DCR,DI I010/020 TRD CHN,DI I010/020 TRD GBS,DI I010/020 TRD CRT,DI I010/140 Time of Day,ADD ON time at recorder,ADD ON delta(t),DI I010/041 Lat,DI I010/041 Lon,DI I010/040 Rho,DI I010/040 Theta,DI I010/042 X,DI I010/042 Y,DI I010/200 V_rho,DI I010/200 V_theta,DI I010/202 V_x,DI I010/202 V_y,DI I010/161 Track No.,DI I010/170 Track Status,DI I010/060 ModeA,DI I010/220 Target Address,DI I010/245 Target ID,DI I010/250 Mode S MB Data,DI I010/300 Vehicle FID,DI I010/090 Fight Level,DI I010/091 Measured Height,DI I010/270 T. Size ,DI I010/270 T. Orientation,DI I010/270 T. Width,DI I010/550 System Status NOGO,DI I010/550 System Status OVL,DI I010/550 System Status TSV,DI I010/550 System Status DIV,DI I010/550 System Status TTF,DI I010/310 PreProgrammed Message,DI I010/550 Standard Deviation of Position sigmaX,DI I010/550 Standard Deviation of Position sigmaY,DI I010/550 Standard Deviation of Position covariXY,DI I010/280 Presence,DI I010/131 Amplitude of Primary Plot,DI I010/210 Calculated Acceleration,SP Special Purpose Field,RE Reserved Expansion Field
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28816.0,28816.0,0.0,,,3293.0,106.1444091796875,3161,-923,508.0,-62.4462890625,-203,108,2768,5,,,,,,,,43,-121,102,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28816.0,28816.0,0.0,,,1632.0,-54.84375,-1328,948,87.0,110.8026123046875,37,-14,2767,5,,,,,,,,43,222,46,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28816.0,28816.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28817.0,28817.0,0.0,,,3239.0,105.9686279296875,3112,-898,490.0,-63.6053466796875,-198,100,2768,5,,,,,,,,49,-121,70,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28817.0,28817.0,0.0,,,1620.0,-54.7064208984375,-1316,945,110.0,107.11669921875,47,-15,2767,5,,,,,,,,37,216,50,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28817.0,28817.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28818.0,28818.0,0.0,,,3183.0,105.9906005859375,3058,-884,495.0,-74.7509765625,-216,60,2768,5,,,,,,,,61,-144,88,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28818.0,28818.0,0.0,,,1609.0,-54.5855712890625,-1305,941,97.0,107.8472900390625,42,-13,2767,5,,,,,,,,31,216,44,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28818.0,28818.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28819.0,28819.0,0.0,,,3127.0,105.941162109375,3005,-866,493.0,-71.5264892578125,-211,72,2768,5,,,,,,,,49,-138,76,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28819.0,28819.0,0.0,,,1598.0,-54.481201171875,-1294,937,107.0,111.4013671875,45,-18,2767,5,,,,,,,,31,227,44,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28819.0,28819.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,23,[209   1   4],1,0,Periodic Status Message,,,,,,28819.0,28819.0,0.0,,,,,,,,,,,,,,,,,,,,,,,Operational,No overload,Time source VALID,Normal Operation,Test Target Operative,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28820.0,28820.0,0.0,,,3072.0,105.941162109375,2952,-850,486.0,-73.575439453125,-210,63,2768,5,,,,,,,,79,-144,104,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28820.0,28820.0,0.0,,,1588.0,-54.371337890625,-1284,933,94.0,108.4295654296875,40,-13,2767,5,,,,,,,,37,222,44,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28820.0,28820.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28821.0,28821.0,0.0,,,3014.0,105.897216796875,2897,-832,506.0,-72.3614501953125,-218,71,2768,5,,,,,,,,67,-144,110,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28821.0,28821.0,0.0,,,1579.0,-54.283447265625,-1276,930,84.0,110.7421875,35,-13,2767,5,,,,,,,,43,222,44,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28821.0,28821.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28822.0,28822.0,0.0,,,2957.0,105.7818603515625,2843,-811,512.0,-68.73046875,-215,85,2768,5,,,,,,,,55,-133,90,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28822.0,28822.0,0.0,,,1570.0,-54.1680908203125,-1267,927,83.0,106.8695068359375,36,-11,2767,5,,,,,,,,43,216,38,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28822.0,28822.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
